source,uid,category,bucket,download_ok,name,ok_load,watertight,body_count,orig_extents_mm,min_width_raw_mm,suggested_scale,min_width_scaled_mm,max_extent_scaled_mm,thin_axis_scaled_mm,verdict,reason,error,local_path
objaverse,591fa396a54f4941bf50b451b99a6de4,apple,compact_blobby,True,apple/591fa396,True,False,1581,"[1355.2, 1808.6, 1314.4]",,,,,,reject,,TimeoutError: load+analyze exceeded 25s,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-092/591fa396a54f4941bf50b451b99a6de4.glb
objaverse,152ca55383b2491e816f5ed5ac127677,apple,compact_blobby,True,apple/152ca553,True,False,26,"[20263.2, 17529.0, 20166.6]",17236.73,0.0023,40.0,47.0,40.4,accept,"min-width 40.0mm, max-extent 47.0mm, thin-axis 40.4mm at scale 0.002",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-002/152ca55383b2491e816f5ed5ac127677.glb
objaverse,4bc699f995844d3394389e8ca8c64794,apple,compact_blobby,True,apple/4bc699f9,True,False,266,"[90.1, 82.1, 88.6]",81.41,0.4913,40.0,44.3,43.0,accept,"min-width 40.0mm, max-extent 44.3mm, thin-axis 43.0mm at scale 0.491",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-053/4bc699f995844d3394389e8ca8c64794.glb
objaverse,9d1ad8b8512040f5a200bc3f72577d8a,avocado,compact_blobby,True,avocado/9d1ad8b8,True,False,8199,"[39242.1, 33098.6, 36709.7]",23205.85,0.0017,40.0,67.6,48.1,accept,"min-width 40.0mm, max-extent 67.6mm, thin-axis 48.1mm at scale 0.002",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-115/9d1ad8b8512040f5a200bc3f72577d8a.glb
objaverse,52bde7061ab94d8ea04e9f7c3141d433,avocado,compact_blobby,True,avocado/52bde706,True,False,6,"[10323.4, 15776.4, 10179.7]",9956.27,0.004,40.0,63.4,40.8,accept,"min-width 40.0mm, max-extent 63.4mm, thin-axis 40.8mm at scale 0.004",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-081/52bde7061ab94d8ea04e9f7c3141d433.glb
objaverse,c8b416221569445382a3a0f3bcc792ec,avocado,compact_blobby,True,avocado/c8b41622,True,False,17,"[134941.0, 294442.8, 328437.6]",132558.17,0.0003,40.0,99.1,40.8,accept,"min-width 40.0mm, max-extent 99.1mm, thin-axis 40.8mm at scale 0.000",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-095/c8b416221569445382a3a0f3bcc792ec.glb
objaverse,b9c654a534e1436ebabb541042bf5fe8,orange_(fruit),compact_blobby,True,orange_(fruit)/b9c654a5,True,False,45,"[218.2, 156.9, 218.8]",156.4,0.2558,40.0,56.0,40.8,accept,"min-width 40.0mm, max-extent 56.0mm, thin-axis 40.8mm at scale 0.256",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-055/b9c654a534e1436ebabb541042bf5fe8.glb
objaverse,79af8a0bff0f48e7a5fe6932157f8052,orange_(fruit),compact_blobby,True,orange_(fruit)/79af8a0b,True,False,27,"[3125.7, 3136.8, 3190.3]",2740.85,0.0146,40.0,46.6,46.0,accept,"min-width 40.0mm, max-extent 46.6mm, thin-axis 46.0mm at scale 0.015",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-127/79af8a0bff0f48e7a5fe6932157f8052.glb
objaverse,d86ab3f2c9934fb79bd82458fcd350a9,orange_(fruit),compact_blobby,True,orange_(fruit)/d86ab3f2,True,False,5,"[115.1, 114.4, 115.1]",114.03,0.3508,40.0,40.4,40.1,accept,"min-width 40.0mm, max-extent 40.4mm, thin-axis 40.1mm at scale 0.351",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-076/d86ab3f2c9934fb79bd82458fcd350a9.glb
objaverse,a7f2673809bb43b4bcf3805c00b5ac5a,lemon,compact_blobby,True,lemon/a7f26738,True,False,342,"[5534.7, 5221.4, 5380.1]",,,,,,reject,,TimeoutError: load+analyze exceeded 25s,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-044/a7f2673809bb43b4bcf3805c00b5ac5a.glb
objaverse,92ed1dee5a3149cc92a862795b87ead4,lemon,compact_blobby,True,lemon/92ed1dee,True,False,12,"[2596.1, 3747.5, 2598.3]",2582.46,0.0155,40.0,58.0,40.2,accept,"min-width 40.0mm, max-extent 58.0mm, thin-axis 40.2mm at scale 0.015",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-073/92ed1dee5a3149cc92a862795b87ead4.glb
objaverse,bc47e4a25779449c8653c41c96772cd3,lemon,compact_blobby,True,lemon/bc47e4a2,True,False,170,,,,,,,reject,,split() returned no usable parts,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-024/bc47e4a25779449c8653c41c96772cd3.glb
objaverse,4e5abbedbb6642cab07f8948fc1acbbe,lime,compact_blobby,True,,,,,,,,,,,reject,,skipped: 105MB > 20MB cap,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-039/4e5abbedbb6642cab07f8948fc1acbbe.glb
objaverse,a79089ec4f9b46f1ab25d04041da42e7,lime,compact_blobby,True,lime/a79089ec,True,False,40,,,,,,,reject,,split() returned no usable parts,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-088/a79089ec4f9b46f1ab25d04041da42e7.glb
objaverse,929a503b845d42918d1fbc372dbf33d0,lime,compact_blobby,True,lime/929a503b,True,False,5,"[78.8, 119.7, 2.5]",2.48,7.2544,18.0,868.4,19.8,borderline,"flat/disk-like: thin axis 19.8mm == grasp axis; DR tumbling (pitch/roll +-45deg, 25% flips) may still present a graspable pose, manual call",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-046/929a503b845d42918d1fbc372dbf33d0.glb
objaverse,678c310aa4cf445889e96e3298218bfb,peach,compact_blobby,True,peach/678c310a,True,False,4,"[47.6, 45.5, 48.4]",42.69,0.937,40.0,45.4,42.8,accept,"min-width 40.0mm, max-extent 45.4mm, thin-axis 42.8mm at scale 0.937",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-031/678c310aa4cf445889e96e3298218bfb.glb
objaverse,a044ea148b064d22930b4f62f91df7aa,peach,compact_blobby,True,peach/a044ea14,True,False,6,"[76339.9, 71758.3, 82135.9]",71357.77,0.0006,40.0,46.0,42.7,accept,"min-width 40.0mm, max-extent 46.0mm, thin-axis 42.7mm at scale 0.001",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-056/a044ea148b064d22930b4f62f91df7aa.glb
objaverse,6b5aa037654c44eeb205543ea6486ed0,peach,compact_blobby,True,peach/6b5aa037,True,False,87,"[19686.0, 17701.1, 18455.8]",17106.48,0.0023,40.0,46.0,41.6,accept,"min-width 40.0mm, max-extent 46.0mm, thin-axis 41.6mm at scale 0.002",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-155/6b5aa037654c44eeb205543ea6486ed0.glb
objaverse,a3ad6dbbcef04d4b92953695a2aec219,pear,compact_blobby,True,pear/a3ad6dbb,True,False,529,"[21267.6, 17404.3, 21910.2]",,,,,,reject,,TimeoutError: load+analyze exceeded 25s,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-004/a3ad6dbbcef04d4b92953695a2aec219.glb
objaverse,889f4a84f24144c0b1808d4b59c04d82,pear,compact_blobby,True,pear/889f4a84,True,False,5,"[20653.6, 28982.8, 20686.9]",20472.32,0.002,40.0,56.6,40.4,accept,"min-width 40.0mm, max-extent 56.6mm, thin-axis 40.4mm at scale 0.002",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-122/889f4a84f24144c0b1808d4b59c04d82.glb
objaverse,8a57a866af8b444795380b6ccc3f5359,pear,compact_blobby,True,pear/8a57a866,True,False,4,"[3704.5, 6585.6, 3759.4]",3582.6,0.0112,40.0,73.5,40.4,accept,"min-width 40.0mm, max-extent 73.5mm, thin-axis 40.4mm at scale 0.011",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-002/8a57a866af8b444795380b6ccc3f5359.glb
objaverse,073f61374af74d4c81a80b11a698fe0a,potato,compact_blobby,True,potato/073f6137,True,False,1550,"[5199.9, 6653.0, 5589.8]",4765.2,0.0084,40.0,55.8,42.2,accept,"min-width 40.0mm, max-extent 55.8mm, thin-axis 42.2mm at scale 0.008",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-125/073f61374af74d4c81a80b11a698fe0a.glb
objaverse,bf1266d2d2874028870300d950f138be,potato,compact_blobby,True,,,,,,,,,,,reject,,skipped: 70MB > 20MB cap,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-109/bf1266d2d2874028870300d950f138be.glb
objaverse,5ecfc69eb56b4a108328f3a3634784ae,potato,compact_blobby,True,potato/5ecfc69e,True,False,2,"[20020.6, 5853.7, 10161.4]",5844.77,0.0055,32.1,110.0,33.1,accept,"min-width 32.1mm, max-extent 110.0mm, thin-axis 33.1mm at scale 0.005",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-007/5ecfc69eb56b4a108328f3a3634784ae.glb
objaverse,ce23ebb7eb65459bbdbeaffd9a62584e,onion,compact_blobby,True,onion/ce23ebb7,True,False,7,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-100/ce23ebb7eb65459bbdbeaffd9a62584e.glb
objaverse,b110a32f87714dbabc431410e47b9cab,onion,compact_blobby,True,onion/b110a32f,True,False,10672,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-131/b110a32f87714dbabc431410e47b9cab.glb
objaverse,d006c847f6c14b6b8bd57869d18583cc,onion,compact_blobby,True,onion/d006c847,True,False,193,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-111/d006c847f6c14b6b8bd57869d18583cc.glb
objaverse,e4c7780379b048bf98b21ef3858afc20,egg,compact_blobby,True,egg/e4c77803,True,True,1,"[1543.4, 2000.0, 1543.4]",,,,,,reject,,TimeoutError: load+analyze exceeded 25s,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-021/e4c7780379b048bf98b21ef3858afc20.glb
objaverse,ef565ce5679d4ce693e5669ad13f020a,egg,compact_blobby,True,egg/ef565ce5,True,False,512,,,,,,,reject,,split() returned no usable parts,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-111/ef565ce5679d4ce693e5669ad13f020a.glb
objaverse,215542a03c634080b302875ccf66f956,egg,compact_blobby,True,egg/215542a0,True,False,19,,,,,,,reject,,TimeoutError: load+analyze exceeded 25s,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-040/215542a03c634080b302875ccf66f956.glb
objaverse,0ac51fc23d744b39a59d413a1a9d6eda,kiwi_fruit,compact_blobby,True,kiwi_fruit/0ac51fc2,True,False,3155,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-041/0ac51fc23d744b39a59d413a1a9d6eda.glb
objaverse,0a7b87d8b90744678766b2e6a0a09a07,kiwi_fruit,compact_blobby,True,kiwi_fruit/0a7b87d8,True,False,59168,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-051/0a7b87d8b90744678766b2e6a0a09a07.glb
objaverse,b3a8b0a9723d4c8da86f753d45184759,kiwi_fruit,compact_blobby,True,kiwi_fruit/b3a8b0a9,True,False,3477,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-094/b3a8b0a9723d4c8da86f753d45184759.glb
objaverse,7c485a579cd54b9280787f3769c799e9,fig_(fruit),compact_blobby,True,,,,,,,,,,,reject,,skipped: 23MB > 20MB cap,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-117/7c485a579cd54b9280787f3769c799e9.glb
objaverse,1d4afb668a714188935966d3ee9b2e33,fig_(fruit),compact_blobby,True,fig_(fruit)/1d4afb66,True,False,381,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-157/1d4afb668a714188935966d3ee9b2e33.glb
objaverse,cea016cbfb8f490593d737ede5fec8b1,fig_(fruit),compact_blobby,True,fig_(fruit)/cea016cb,True,False,3372,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-071/cea016cbfb8f490593d737ede5fec8b1.glb
objaverse,9104ac024c8c4e4b80e5664c8a18fbce,artichoke,compact_blobby,True,artichoke/9104ac02,True,False,62,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-118/9104ac024c8c4e4b80e5664c8a18fbce.glb
objaverse,cd511cc09e2c4fa2a7f64759afe42f7e,artichoke,compact_blobby,True,,,,,,,,,,,reject,,TimeoutError: load+analyze exceeded 25s,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-157/cd511cc09e2c4fa2a7f64759afe42f7e.glb
objaverse,0a1ee08e669843928c1f0caeb9971f85,artichoke,compact_blobby,True,artichoke/0a1ee08e,True,False,1742,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-112/0a1ee08e669843928c1f0caeb9971f85.glb
objaverse,bf18d6bffb22406c85e2bf136ac227ca,coconut,compact_blobby,True,coconut/bf18d6bf,True,False,31,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-052/bf18d6bffb22406c85e2bf136ac227ca.glb
