source,uid,category,bucket,download_ok,name,ok_load,watertight,body_count,orig_extents_mm,min_width_raw_mm,suggested_scale,min_width_scaled_mm,max_extent_scaled_mm,thin_axis_scaled_mm,verdict,reason,error,local_path
metafood3d,metafood3d/Almond(bowl)/almond_1,almond,metafood3d_real_scan,True,,,,,,,,,,,reject,,TimeoutError: load+analyze exceeded 40s,/nobackup/proj/disk/softenable-codesign26/personal/yifeid/object_expansion_sources/metafood3d/3D_Mesh/Almond(bowl)/almond_1/Almond_1.obj
metafood3d,metafood3d/Almond(bowl)/almond_3,almond,metafood3d_real_scan,True,,,,,,,,,,,reject,,TimeoutError: load+analyze exceeded 40s,/nobackup/proj/disk/softenable-codesign26/personal/yifeid/object_expansion_sources/metafood3d/3D_Mesh/Almond(bowl)/almond_3/almond_3.obj
metafood3d,metafood3d/Almonds/almond_1,almonds,metafood3d_real_scan,True,metafood3d/Almonds/almond_1,True,False,64,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/nobackup/proj/disk/softenable-codesign26/personal/yifeid/object_expansion_sources/metafood3d/3D_Mesh/Almonds/almond_1/almond_1.obj
metafood3d,metafood3d/Almonds/almond_2,almonds,metafood3d_real_scan,True,metafood3d/Almonds/almond_2,True,False,10,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/nobackup/proj/disk/softenable-codesign26/personal/yifeid/object_expansion_sources/metafood3d/3D_Mesh/Almonds/almond_2/Almond_2.obj
metafood3d,metafood3d/Apple/apple_1,apple,metafood3d_real_scan,True,,,,,,,,,,,reject,,TimeoutError: load+analyze exceeded 40s,/nobackup/proj/disk/softenable-codesign26/personal/yifeid/object_expansion_sources/metafood3d/3D_Mesh/Apple/apple_1/apple_1.obj
metafood3d,metafood3d/Apple/apple_2,apple,metafood3d_real_scan,True,metafood3d/Apple/apple_2,True,False,64,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/nobackup/proj/disk/softenable-codesign26/personal/yifeid/object_expansion_sources/metafood3d/3D_Mesh/Apple/apple_2/apple_2.obj
metafood3d,metafood3d/Applesauce/new_applesauce_1,applesauce,metafood3d_real_scan,True,metafood3d/Applesauce/new_applesauce_1,True,False,925,,,,,,,reject,,TimeoutError: load+analyze exceeded 40s,/nobackup/proj/disk/softenable-codesign26/personal/yifeid/object_expansion_sources/metafood3d/3D_Mesh/Applesauce/new_applesauce_1/applesauce_1.obj
metafood3d,metafood3d/Applesauce/new_applesauce_2,applesauce,metafood3d_real_scan,True,metafood3d/Applesauce/new_applesauce_2,True,False,1071,,,,,,,reject,,TimeoutError: load+analyze exceeded 40s,/nobackup/proj/disk/softenable-codesign26/personal/yifeid/object_expansion_sources/metafood3d/3D_Mesh/Applesauce/new_applesauce_2/applesauce_2.obj
metafood3d,metafood3d/Asparagus/new_asparagus_1,asparagus,metafood3d_real_scan,True,metafood3d/Asparagus/new_asparagus_1,True,False,69,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/nobackup/proj/disk/softenable-codesign26/personal/yifeid/object_expansion_sources/metafood3d/3D_Mesh/Asparagus/new_asparagus_1/asparagus_1.obj
metafood3d,metafood3d/Asparagus/new_asparagus_2,asparagus,metafood3d_real_scan,True,metafood3d/Asparagus/new_asparagus_2,True,False,63,,,,,,,reject,,ModuleNotFoundError: No module named 'networkx',/nobackup/proj/disk/softenable-codesign26/personal/yifeid/object_expansion_sources/metafood3d/3D_Mesh/Asparagus/new_asparagus_2/asparagus_2.obj
metafood3d,metafood3d/Avocado/avocado_2,avocado,metafood3d_real_scan,True,,,,,,,,,,,reject,,TimeoutError: load+analyze exceeded 40s,/nobackup/proj/disk/softenable-codesign26/personal/yifeid/object_expansion_sources/metafood3d/3D_Mesh/Avocado/avocado_2/avocado_2.obj
metafood3d,metafood3d/Avocado/avocado_3,avocado,metafood3d_real_scan,True,,,,,,,,,,,reject,,TimeoutError: load+analyze exceeded 40s,/nobackup/proj/disk/softenable-codesign26/personal/yifeid/object_expansion_sources/metafood3d/3D_Mesh/Avocado/avocado_3/avocado_3.obj
