uid,category,bucket,download_ok,name,ok_load,watertight,body_count,orig_extents_mm,min_width_raw_mm,suggested_scale,min_width_scaled_mm,max_extent_scaled_mm,thin_axis_scaled_mm,verdict,reason,error,local_path
77e8b5ee3f774a969681357a0205e2f8,wineglass,thin_shell_hollow,True,wineglass/77e8b5ee,True,False,762,"[1478.6, 289.3, 1478.6]",289.33,0.0744,21.5,110.0,21.5,accept,"min-width 21.5mm, max-extent 110.0mm, thin-axis 21.5mm at scale 0.074",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-032/77e8b5ee3f774a969681357a0205e2f8.glb
1486d72b4fba43acb829b5064cd4723e,wineglass,thin_shell_hollow,True,wineglass/1486d72b,True,False,4,"[84986.2, 162801.0, 84986.2]",84791.1,0.0005,40.0,76.8,40.1,accept,"min-width 40.0mm, max-extent 76.8mm, thin-axis 40.1mm at scale 0.000",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-041/1486d72b4fba43acb829b5064cd4723e.glb
084edab3deea4ed7a447b5a7bae72590,wineglass,thin_shell_hollow,True,wineglass/084edab3,True,False,81,"[151489.0, 278470.2, 151380.0]",140675.77,0.0003,40.0,79.2,42.8,accept,"min-width 40.0mm, max-extent 79.2mm, thin-axis 42.8mm at scale 0.000",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-023/084edab3deea4ed7a447b5a7bae72590.glb
36488daba956473086ea068102da7ea2,wineglass,thin_shell_hollow,True,wineglass/36488dab,True,False,6,"[1161.2, 2933.2, 1161.2]",1138.87,0.0351,40.0,103.0,40.7,accept,"min-width 40.0mm, max-extent 103.0mm, thin-axis 40.7mm at scale 0.035",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-087/36488daba956473086ea068102da7ea2.glb
435077bef9dd48d6a5cee72dd1f4a4ef,mug,thin_shell_hollow,True,mug/435077be,True,False,101,"[2000.0, 1929.2, 1382.9]",1278.12,0.0313,40.0,62.6,43.2,accept,"min-width 40.0mm, max-extent 62.6mm, thin-axis 43.2mm at scale 0.031",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-014/435077bef9dd48d6a5cee72dd1f4a4ef.glb
95fe6a8daebb4ea5846ace8c0806d108,mug,thin_shell_hollow,True,mug/95fe6a8d,True,False,28,"[11326.6, 16300.0, 6985.9]",6761.48,0.0059,40.0,96.4,41.5,accept,"min-width 40.0mm, max-extent 96.4mm, thin-axis 41.5mm at scale 0.006",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-058/95fe6a8daebb4ea5846ace8c0806d108.glb
721c70b175674aad93d742ff8812b512,mug,thin_shell_hollow,True,mug/721c70b1,True,False,3,"[38079.6, 31818.4, 28018.6]",,,,,,reject,,TimeoutError: load+analyze exceeded 25s,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-093/721c70b175674aad93d742ff8812b512.glb
b4e5f0e6367e442c995eb1e241e61f74,mug,thin_shell_hollow,True,mug/b4e5f0e6,True,False,10,"[9330.4, 9491.4, 10488.3]",7999.48,0.005,40.0,52.4,40.1,accept,"min-width 40.0mm, max-extent 52.4mm, thin-axis 40.1mm at scale 0.005",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-051/b4e5f0e6367e442c995eb1e241e61f74.glb
f54383fd0700414589b0ad689fa65254,cup,thin_shell_hollow,True,cup/f54383fd,True,False,8,"[100.0, 100.0, 100.0]",99.89,0.4004,40.0,40.0,40.0,accept,"min-width 40.0mm, max-extent 40.0mm, thin-axis 40.0mm at scale 0.400",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-026/f54383fd0700414589b0ad689fa65254.glb
b22f932e42e9467dbb6784c979b6dfe1,cup,thin_shell_hollow,True,cup/b22f932e,True,False,11,"[1686.2, 4299.7, 1686.2]",1686.0,0.0237,40.0,102.0,40.0,accept,"min-width 40.0mm, max-extent 102.0mm, thin-axis 40.0mm at scale 0.024",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-009/b22f932e42e9467dbb6784c979b6dfe1.glb
