name,category,bucket,source_uid,geom_verdict,suggested_scale,prep_ok,fem_gate_pass,fem_tets,collection_status,success_rate,ever_success_rate,sub_yield_frac,episodes_saved,stage,note,timestamp
apple,apple,compact_blobby,152ca55383b2491e816f5ed5ac127677,accept,0.0023,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 18:47:31
avocado,avocado,compact_blobby,52bde7061ab94d8ea04e9f7c3141d433,accept,0.004,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 18:47:31
cup,cup,thin_shell_hollow,4f3edd9bf5fb4b6ab11433cbd9e19c74,accept,0.0087,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 18:47:33
mug,mug,thin_shell_hollow,435077bef9dd48d6a5cee72dd1f4a4ef,accept,0.0313,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 18:47:33
wineglass,wineglass,thin_shell_hollow,084edab3deea4ed7a447b5a7bae72590,accept,0.0003,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 18:47:34
zucchini,zucchini,elongated_rope_stick,84d49dc0a9214b17ad48eda985f80dea,accept,0.0118,True,False,5748,,,,,,fem_gate,direct_tet/ratio/tetcount gate failed,2026-09-08 18:47:36
apple,apple,compact_blobby,152ca55383b2491e816f5ed5ac127677,accept,0.0023,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 19:19:01
avocado,avocado,compact_blobby,52bde7061ab94d8ea04e9f7c3141d433,accept,0.004,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 19:19:01
cup,cup,thin_shell_hollow,4f3edd9bf5fb4b6ab11433cbd9e19c74,accept,0.0087,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 19:19:03
mug,mug,thin_shell_hollow,435077bef9dd48d6a5cee72dd1f4a4ef,accept,0.0313,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 19:19:04
teapot,teapot,thin_shell_hollow,404abcc8b80349e0b6971b73ed360fd7,accept,0.0305,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 19:19:08
wineglass,wineglass,thin_shell_hollow,084edab3deea4ed7a447b5a7bae72590,accept,0.0003,True,False,,,,,,,fem_gate,No module named 'pymeshlab',2026-09-08 19:19:10
apple,apple,compact_blobby,152ca55383b2491e816f5ed5ac127677,accept,0.0023,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:08:50
avocado,avocado,compact_blobby,52bde7061ab94d8ea04e9f7c3141d433,accept,0.004,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:08:51
coffeepot,coffeepot,thin_shell_hollow,04206b246cf7419392e40881212a8010,accept,0.4331,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:08:52
cup,cup,thin_shell_hollow,4f3edd9bf5fb4b6ab11433cbd9e19c74,accept,0.0087,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:08:53
funnel,funnel,thin_shell_hollow,0c7b15ee169046c9a3f07329a322b578,accept,0.1216,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:08:57
mug,mug,thin_shell_hollow,435077bef9dd48d6a5cee72dd1f4a4ef,accept,0.0313,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:08:58
teapot,teapot,thin_shell_hollow,404abcc8b80349e0b6971b73ed360fd7,accept,0.0305,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:09:02
wineglass,wineglass,thin_shell_hollow,084edab3deea4ed7a447b5a7bae72590,accept,0.0003,True,False,,,,,,,fem_gate,/lib64/libm.so.6: version `GLIBC_2.35' not found (required by /nobackup/proj/disk/softenable-codesign26/personal/yifeid/gentle_manip/envs/sim_arrhenius/.venv/lib/python3.12/site-packages/pymeshlab/lib,2026-09-08 21:09:04
bowl,bowl,thin_shell_hollow,15b103f822ef4d92a386e95746a9aebe,accept,0.0117,True,True,3861,crashed,,,,,collect,"rc=1, see bowl_pilot_collect.log",2026-09-08 21:11:54
carrot,carrot,elongated_rope_stick,50412b64aa20474b87e2ed690464cfea,accept,0.0004,True,False,5300,,,,,,fem_gate,direct_tet/ratio/tetcount gate failed,2026-09-08 21:11:56
tabasco_sauce,Tabasco_sauce,unknown,463023dd24d14b68b368aecb221425c4,accept,0.0034,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:16
apricot,apricot,unknown,a4c9a503f63e440e8d6d924d4e5c36b1,accept,0.6003,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:17
lego,Lego,unknown,3a4c4e3fd81241ec99e2a9dac838dc31,accept,0.0041,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:18
dixie_cup,Dixie_cup,unknown,1ae882312dc2430785ee4ac48bef35c0,accept,0.2971,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:18
atomizer,atomizer,unknown,d076b147c2214633bb1e821895093039,accept,0.0007,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:19
bait,bait,unknown,645886761a804fa5bfb184d1ec8221b1,accept,0.0928,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:19
apple,apple,compact_blobby,152ca55383b2491e816f5ed5ac127677,accept,0.0023,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:19
bandanna,bandanna,unknown,88d2ef7eab8945eb8f6ecf6a876e0051,accept,0.0227,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:20
baseball_cap,baseball_cap,unknown,4a713326b70a4a32aa7ec6eca918603a,accept,0.1002,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:21
asparagus,asparagus,elongated_rope_stick,e959f4481edf4ed68f5b6067e821cc08,accept,0.0097,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:21
bagel,bagel,unknown,32c0bcf29aee45da8a7bcf7ffe1fd8c1,accept,0.069,False,,,,,,,,mesh_prep,repair failed: mesh still not watertight after voxel-remesh fallback (FAILS LOUDLY per the 2026-09-07 DEVLOG lesson -- do not silently ship this),2026-09-08 21:12:22
